objid,ra,dec,z
1237660634382663945,151.124445025439,41.2548600921004,0.67444
1237660634382664383,151.12478104684,41.2480326936896,0.537078
1237660634382729509,151.210147239106,41.2773053408864,0.252214
1237660342864838867,151.133891735567,41.2657007408152,0.379733
1237660634382664129,151.133630104196,41.2121304364428,0.711433
1237660634382664132,151.133952894471,41.210033950662,0.236337
1237660634382664366,151.133041336144,41.2005810012306,0.573393
1237660634382664379,151.134876298724,41.2275421550939,0.657728
1237660634382664380,151.133667788709,41.2269760347246,0.610209
1237660634382664476,151.134905593888,41.1501519721389,0.363343
1237660634382729932,151.211686503482,41.197481709672,0.68026
